NACA 0015
 1.00000     0.00157
 0.98847     0.00358
 0.96784     0.00710
 0.94348     0.01115
 0.91636     0.01553
 0.88763     0.02001
 0.85811     0.02446
 0.82821     0.02882
 0.79813     0.03305
 0.76798     0.03714
 0.73779     0.04108
 0.70760     0.04487
 0.67742     0.04850
 0.64727     0.05196
 0.61716     0.05525
 0.58711     0.05835
 0.55714     0.06125
 0.52726     0.06393
 0.49750     0.06637
 0.46786     0.06856
 0.43839     0.07048
 0.40909     0.07210
 0.38000     0.07339
 0.35115     0.07433
 0.32260     0.07488
 0.29439     0.07501
 0.26659     0.07469
 0.23932     0.07389
 0.21270     0.07256
 0.18695     0.07070
 0.16236     0.06829
 0.13929     0.06537
 0.11816     0.06203
 0.09932     0.05839
 0.08292     0.05459
 0.06892     0.05076
 0.05705     0.04698
 0.04702     0.04328
 0.03851     0.03968
 0.03126     0.03616
 0.02505     0.03271
 0.01972     0.02930
 0.01514     0.02591
 0.01124     0.02251
 0.00794     0.01908
 0.00524     0.01562
 0.00311     0.01212
 0.00154     0.00859
 0.00053     0.00508
 0.00006     0.00167
 0.00006    -0.00167
 0.00053    -0.00508
 0.00154    -0.00859
 0.00311    -0.01212
 0.00524    -0.01562
 0.00794    -0.01908
 0.01124    -0.02251
 0.01514    -0.02591
 0.01972    -0.02930
 0.02505    -0.03271
 0.03126    -0.03616
 0.03851    -0.03968
 0.04702    -0.04328
 0.05705    -0.04698
 0.06892    -0.05076
 0.08292    -0.05459
 0.09932    -0.05839
 0.11816    -0.06203
 0.13929    -0.06537
 0.16236    -0.06829
 0.18695    -0.07070
 0.21270    -0.07256
 0.23932    -0.07389
 0.26659    -0.07469
 0.29439    -0.07501
 0.32260    -0.07488
 0.35115    -0.07433
 0.38000    -0.07339
 0.40909    -0.07210
 0.43839    -0.07048
 0.46786    -0.06856
 0.49750    -0.06637
 0.52726    -0.06393
 0.55714    -0.06125
 0.58711    -0.05835
 0.61716    -0.05525
 0.64727    -0.05196
 0.67742    -0.04850
 0.70760    -0.04487
 0.73779    -0.04108
 0.76798    -0.03714
 0.79813    -0.03305
 0.82821    -0.02882
 0.85811    -0.02446
 0.88763    -0.02001
 0.91636    -0.01553
 0.94348    -0.01115
 0.96784    -0.00710
 0.98847    -0.00358
 1.00000    -0.00157
